Year,Revenue($ Million),IVA($ Million),Estab.(Units),Enterprises(Units),Employment(Units),Wages($ Million)
2007-08,15490.8,7621.4,1705,588,80689,4692.9
2008-09,13880.9,7134.8,1665,594,76206,3975.4
2009-10,13552.4,7277.7,1687,599,80689,4240.1
2010-11,12931.1,6284.5,1678,590,78127,3889.6
2011-12,14248.1,7195.2,1673,584,80049,4180.2
2012-13,15784.6,7560.9,1656,587,79408,4562.3
2013-14,15469.5,7193.3,1664,580,79408,4617.5
2014-15,15534.5,7145.9,1648,603,75566,4630.8
2015-16,16003.8,7697.9,1641,604,77487,4851.3
2016-17,15309.7,7272.1,1643,609,75566,4714.9
2017-18,15600.5,7113.9,1676,622,78820,4786.9
2018-19,15350,6324.2,1701,628,76039,4631.8
2019-20,11767.3,4695.1,1611,600,58691,3062.4
2020-21,8408.8,3262.7,1752,598,53865,2476.8
2021-22,10163.1,3831.5,1822,623,60933,2544
2022-23,14060.8,5764.9,1832,641,77778,3518.2
2023-24,14598.9,6467.3,1898,656,69897,3560
2024-25,14568.2,6497.5,1966,680,73334,3574.7
2025-26,14803.7,6498.8,2030,698,76151,3653.6
2026-27,15266.9,6702.2,2078,709,77983,3721.4
2027-28,15701.1,6908.5,2115,719,79583,3808
2028-29,16088.1,6917.9,2146,725,80988,3870
2029-30,16599.6,7104.6,2215,737,83755,4004.9
2030-31,17096.6,7249,2286,748,86643,4141.6
2031-32,17514.7,7391.2,2338,754,88827,4246.8
