Year,Revenue($ Million),IVA($ Million),Estab.(Units),Enterprises(Units),Employment(Units),Wages($ Million)
2007-08,637,326.1,335,267,3310,281.8
2008-09,560.6,269.7,307,247,3139,236.4
2009-10,550.1,274,314,245,3029,229.7
2010-11,530.5,263.1,317,249,3029,222.5
2011-12,513.1,259.1,308,244,2907,215.6
2012-13,527.5,273.2,316,249,2915,221.9
2013-14,552.1,283.7,330,262,3019,231.7
2014-15,578.6,294.5,344,274,3065,241.7
2015-16,634.4,323.6,379,299,3260,262.3
2016-17,660,347.2,414,321,3070,270.7
2017-18,673.2,346.6,432,333,3092,267
2018-19,652.1,338.5,435,334,3252,269.4
2019-20,445.9,233.2,411,325,2641,201.6
2020-21,18.5,15.2,313,267,700,19.6
2021-22,76.9,48.3,418,335,1164,53.5
2022-23,383.1,171.3,436,317,2237,151.4
2023-24,602.9,209.9,477,333,2658,177.1
2024-25,620.3,212.2,457,317,2717,177.8
2025-26,632.1,230.1,477,326,2802,196.1
2026-27,664.4,251.8,502,342,3017,212.7
2027-28,692.6,270.1,524,356,3198,227.1
2028-29,719.2,284.8,528,358,3346,239.4
2029-30,750.8,302.6,530,360,3519,253.5
2030-31,777.9,323.6,558,378,3752,272.2
2031-32,801.8,341.6,559,379,3931,287.1
