Year,Revenue($ Million),IVA($ Million),Estab.(Units),Enterprises(Units),Employment(Units),Wages($ Million)
2007-08,149097.7,46369.4,85780,58692,448600,25820.1
2008-09,143154.1,45236.8,88368,60191,450700,25533.9
2009-10,141761.9,44938.6,89294,61276,463600,26605.6
2010-11,135838,43875.6,89017,60438,469300,25640.2
2011-12,140894.8,46213.5,89173,60477,479300,26108.7
2012-13,147812.3,49369.4,89434,60895,497400,27069.7
2013-14,151822.2,50860.4,89768,61650,500400,27996.1
2014-15,159447.8,53733.9,91420,63596,519100,30116.1
2015-16,169379.1,57758.2,96919,67495,540100,32506.9
2016-17,173087.4,58676.7,101609,72036,551200,33046
2017-18,184342.9,62492.2,112388,81729,593100,35709.7
2018-19,199040,66479.4,122372,89196,632000,37442.2
2019-20,158067.8,52952.7,111939,81773,548600,30279.9
2020-21,104547.2,37532.5,87482,63376,395000,18996.8
2021-22,115372.5,40726.6,92864,67817,431600,19822.6
2022-23,191938.3,67754.3,130903,94819,654500,29896.9
2023-24,201740.4,71416.1,137569,99735,691500,32425
2024-25,205155.7,70573.6,138437,100859,701575,33146.2
2025-26,213150,78652.4,138710,101070,707081,33494.1
2026-27,216828.5,80660.2,140462,102510,713238,34704.5
2027-28,221345.9,81898,142803,103824,735316,36809.1
2028-29,225402,83624.1,144573,105167,746369,38147.2
2029-30,230306.6,85674.1,146884,106570,758262,39770.8
2030-31,236995,88399.1,147657,107751,770163,41973.1
2031-32,241620,91090.7,149852,109163,783917,43699.6
